C/A,UNIT,SCP,STATION,LINENAME,DIVISION,DATE,TIME,DESC,ENTRIES,EXITS                                                               
A002,R051,02-03-02,59 ST,NQR456W,BMT,05/25/2017,20:00:00,REGULAR,0005380079,0007416340                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,05/26/2017,00:00:00,REGULAR,0005380322,0007416479                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,05/26/2017,04:00:00,REGULAR,0005380348,0007416494                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,05/26/2017,08:00:00,REGULAR,0005380385,0007416799                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,05/26/2017,12:00:00,REGULAR,0005380570,0007417344                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,05/26/2017,16:00:00,REGULAR,0005380917,0007417641                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,05/26/2017,20:00:00,REGULAR,0005381425,0007417883                                            
A002,R051,02-03-03,59 ST,NQR456W,BMT,05/20/2017,00:00:00,REGULAR,0005008085,0005930322                                            
A002,R051,02-03-03,59 ST,NQR456W,BMT,05/20/2017,04:00:00,REGULAR,0005008113,0005930333                                            
A002,R051,02-03-03,59 ST,NQR456W,BMT,05/20/2017,08:00:00,REGULAR,0005008142,0005930370                                            
A002,R051,02-03-03,59 ST,NQR456W,BMT,05/20/2017,12:00:00,REGULAR,0005008281,0005930509                                            
A002,R051,02-03-03,59 ST,NQR456W,BMT,05/20/2017,16:00:00,REGULAR,0005008501,0005930622                                            
A002,R051,02-03-03,59 ST,NQR456W,BMT,05/20/2017,20:00:00,REGULAR,0005008823,0005930709                                            
A002,R051,02-03-03,59 ST,NQR456W,BMT,05/21/2017,00:00:00,REGULAR,0005009060,0005930766                                            
A002,R051,02-03-03,59 ST,NQR456W,BMT,05/21/2017,04:00:00,REGULAR,0005009093,0005930777                                            
A002,R051,02-03-03,59 ST,NQR456W,BMT,05/21/2017,08:00:00,REGULAR,0005009116,0005930800                                            
A002,R051,02-03-03,59 ST,NQR456W,BMT,05/21/2017,12:00:00,REGULAR,0005009174,0005930912                                            
A002,R051,02-03-03,59 ST,NQR456W,BMT,05/21/2017,16:00:00,REGULAR,0005009305,0005931020                                            
A002,R051,02-03-03,59 ST,NQR456W,BMT,05/21/2017,20:00:00,REGULAR,0005009529,0005931117                                            
A002,R051,02-03-03,59 ST,NQR456W,BMT,05/22/2017,00:00:00,REGULAR,0005009656,0005931171                                            
A002,R051,02-03-03,59 ST,NQR456W,BMT,05/22/2017,08:00:00,REGULAR,0005009709,0005931468                                            
A002,R051,02-03-03,59 ST,NQR456W,BMT,05/22/2017,12:00:00,REGULAR,0005009896,0005931925                                            
