,kepid,digits,KeplerName,Disposition
506,8262210,K01073.01,,FALSE POSITIVE
507,10272640,K01074.01,Kepler-762 b,CANDIDATE
508,10232123,K01075.01,,CANDIDATE
509,10223616,K01076.01,,FALSE POSITIVE
510,8415745,K01138.01,,FALSE POSITIVE
511,8378634,K01139.01,,FALSE POSITIVE
512,8397675,K01140.01,,CANDIDATE
513,8346392,K01141.01,Kepler-777 b,CANDIDATE
514,8288947,K01142.01,Kepler-778 b,CANDIDATE
515,2437804,K06269.01,,FALSE POSITIVE
516,8312852,K01143.01,,FALSE POSITIVE
517,9480189,K00941.01,Kepler-257 c,CANDIDATE
518,11974540,K00129.01,Kepler-470 b,CANDIDATE
519,9480189,K00941.02,Kepler-257 b,CANDIDATE
520,9480189,K00941.03,Kepler-257 d,CANDIDATE
521,9512687,K00942.01,Kepler-735 b,CANDIDATE
